Proof,Uncompressed.length,Uncompressed.coreSize,Uncompressed.height,Uncompressed.space,Uncompressed.time,Uncompressed.transLength,PCNewNew.length,PCNewNew.coreSize,PCNewNew.height,PCNewNew.space,PCNewNew.time,PCNewNew.transLength,FCNewNew.length,FCNewNew.coreSize,FCNewNew.height,FCNewNew.space,FCNewNew.time,FCNewNew.transLength,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/SEQ/SEQ005_size9,2961,504,321,213,4683,3965,2846,631,327,174,5691,3626,2862,639,327,174,6990,3634,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/SEQ/SEQ009_size7,224,35,33,13,170,224,224,35,33,13,123,224,224,35,33,13,73,224,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/SEQ/SEQ005_size8,61853,5437,414,2310,143693,105559,51738,11928,412,1357,145028,87752,52117,11992,412,1311,275279,89227,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg6/iso_icl_nogen_sk009,178348,5017,3700,3551,38393,187948,172087,7247,3681,3953,1079784,182527,171034,7114,3679,3937,1421363,181158,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg6/gensys_icl_sk005,109669,3800,1902,2886,21686,114983,104955,4948,1908,3113,402167,110775,104264,4794,1896,3074,526711,109942,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg6/iso_icl002,15784,1343,1778,879,2243,17322,15366,1487,1761,855,49085,16854,15254,1490,1693,850,62404,16710,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg6/iso_icl_nogen_sk003,78820,4244,1997,2659,14890,83978,75332,5163,1995,2819,295082,80776,74946,5104,1976,2782,382000,80346,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg6/gensys_icl002,533373,3724,10133,3286,236622,540887,502321,5649,9944,4626,3960000,510197,500613,5792,9924,4622,5048939,508325,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg6/gensys_brn_sk008,38302,2420,923,1626,4793,41328,36124,3070,927,1706,64919,39368,35862,3002,927,1676,87604,39044,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg6/iso_icl001,105660,2606,3173,2124,24127,109126,100282,3179,3097,2321,399153,103594,99544,3238,3089,2317,513482,102814,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg6/gensys_icl_sk010,133296,4300,2889,3177,24996,140688,126575,5725,2885,3490,637657,134827,125759,5573,2833,3441,817439,133785,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg6/iso_icl_nogen_sk010,122842,4365,2661,3091,22498,132114,119238,6611,2659,3318,594188,129796,118013,6386,2659,3261,738449,128179,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg6/iso_icl_nogen005,1355976,6744,7122,8665,895644,1369156,1225708,11996,6754,11634,15853915,1239928,1222436,12055,6747,11617,23187572,1236246,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg6/iso_icl_repgen_sk013,45494,3150,1831,1777,13701,52414,42237,4423,1816,1827,220025,49073,41852,4355,1815,1782,304029,48702,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg6/iso_icl_sk006,51457,2009,2033,1615,6222,53537,48833,2474,2031,1678,111035,50965,48484,2449,2031,1672,148928,50570,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg6/iso_icl_sk005,28711,1729,1487,1161,3932,30643,27674,2113,1481,1115,47583,29688,27404,2091,1446,1110,61933,29372,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg6/iso_icl_nogen003,1640584,8309,10280,9599,1240664,1655002,1471101,14861,9880,13559,25804563,1486911,1469250,14806,9884,13567,42063103,1484750,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg6/iso_brn014,62907,2137,2505,1765,10799,65643,60346,2586,2466,1817,241264,62866,59830,2615,2459,1810,330387,62262,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg6/gensys_brn_sk007,140840,4960,3350,3177,38102,150504,135636,7144,3352,3354,852934,146072,134890,6914,3351,3314,1114099,145152,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg6/iso_icl_repgen_sk010,116116,5117,2510,3111,90589,127578,100406,7438,2514,3250,468681,111608,99170,7124,2501,3194,650214,109916,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg6/iso_icl_nogen002,493875,4251,7087,3958,197139,501931,460027,6562,6943,5212,4751211,468725,459019,6670,6929,5208,6313523,467513,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg6/iso_icl_repgen_sk003,98572,5727,1933,3226,63620,110284,86344,7891,1939,3211,523619,98974,85381,7536,1937,3154,812356,97673,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg6/gensys_icl_sk002,49542,2610,1771,1816,7613,53422,48179,3839,1766,1937,111774,52285,47784,3734,1766,1900,138354,51888,
